1,2,3,4,5,6,7,8,9,10,11,12
360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
7320.84,7320.84,7320.84,7320.84,7320.84,7320.84,7320.84,7320.84,7320.84,7320.84,7320.84,7320.84
12693.5,12693.5,12693.5,12693.5,12693.5,12693.5,12693.5,12693.5,12693.5,12693.5,12693.5,12693.5
1571.84,1571.84,1571.84,1571.84,1571.84,1571.84,1571.84,1571.84,1571.84,1571.84,1571.84,1571.84
149.31,149.31,149.31,149.31,149.31,149.31,149.31,149.31,149.31,149.31,149.31,149.31
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
821.56,821.56,821.56,821.56,821.56,821.56,821.56,821.56,821.56,821.56,821.56,821.56
2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
53835.01,53835.01,53835.01,53835.01,53835.01,53835.01,53835.01,53835.01,53835.01,53835.01,53835.01,53835.01
37241.55,37241.55,37241.55,37241.55,37241.55,37241.55,37241.55,37241.55,37241.55,37241.55,37241.55,37241.55
600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
1450.34,1450.34,1450.34,1450.34,1450.34,1450.34,1450.34,1450.34,1450.34,1450.34,1450.34,1450.34
2141.69,2141.69,2141.69,2141.69,2141.69,2141.69,2141.69,2141.69,2141.69,2141.69,2141.69,2141.69
14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0
127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5
903.0,903.0,903.0,903.0,903.0,903.0,903.0,903.0,903.0,903.0,903.0,903.0
105.61,105.61,105.61,105.61,105.61,105.61,105.61,105.61,105.61,105.61,105.61,105.61
3125.0,3125.0,3125.0,3125.0,3125.0,3125.0,3125.0,3125.0,3125.0,3125.0,3125.0,3125.0
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83
210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
726.39,726.39,726.39,726.39,726.39,726.39,726.39,726.39,726.39,726.39,726.39,726.39
79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63
655.5,655.5,655.5,655.5,655.5,655.5,655.5,655.5,655.5,655.5,655.5,655.5
2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
557.18,557.18,557.18,557.18,557.18,557.18,557.18,557.18,557.18,557.18,557.18,557.18
3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
3486.91,3486.91,3486.91,3486.91,3486.91,3486.91,3486.91,3486.91,3486.91,3486.91,3486.91,3486.91
5665.44,5665.44,5665.44,5665.44,5665.44,5665.44,5665.44,5665.44,5665.44,5665.44,5665.44,5665.44
94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5
24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
